[2025-04-20 09:29:44,458: INFO: main: wlcm to custm log]
[2025-04-20 09:44:09,100: INFO: main: wlcm to custm log]
[2025-04-20 09:46:46,950: INFO: main: wlcm to custm log]
[2025-04-20 09:53:58,110: INFO: main: wlcm to custm log]
[2025-04-20 10:14:53,056: INFO: main: wlcm to custm log]
[2025-04-20 10:16:14,258: INFO: main: wlcm to custm log]
[2025-04-20 10:16:23,272: INFO: main: wlcm to custm log]
[2025-04-24 23:43:46,133: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-24 23:46:48,716: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-24 23:46:48,724: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-24 23:46:48,726: INFO: common: created directory at: artifacts]
[2025-04-24 23:46:48,729: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-24 23:47:00,798: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-24 23:47:00,800: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-24 23:47:00,802: INFO: common: created directory at: artifacts]
[2025-04-24 23:47:00,803: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-24 23:47:06,652: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-24 23:47:06,654: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-24 23:47:06,655: INFO: common: created directory at: artifacts]
[2025-04-24 23:47:06,656: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-29 21:34:31,897: INFO: main: >>>>>>>> stage DAta Ingestion Stage started here <<<<<<<<]
[2025-04-29 21:34:31,899: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-29 21:34:31,901: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-29 21:34:31,902: INFO: common: created directory at: artifacts]
[2025-04-29 21:34:31,903: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-29 21:34:31,904: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1zsI3e2QVpuhM1hjHMlr-8lx6os6X2UQF/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-04-29 21:36:20,879: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1zsI3e2QVpuhM1hjHMlr-8lx6os6X2UQF/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-04-29 21:36:40,540: INFO: main: >>>>>>>>> stage DAta Ingestion Stage completed <<<<<<<<<

X=======================================================X]
